name	titles	function	steno_name	sex	party	birthdate	web_page
Miroslav Grégr		ministr průmyslu a obchodu čr	ministr průmyslu a obchodu čr miroslav grégr	Man	ČSSD	19290101	/sqw/p.sqw?p=459
Miroslav Grégr		místopředseda vlády a ministr průmyslu a obchodu čr	místopředseda vlády a ministr průmyslu a obchodu čr miroslav grégr	Man	ČSSD	19290101	/sqw/p.sqw?p=459
Miroslav Kalousek	Ing.	poslanec	poslanec miroslav kalousek	Man	KDU-ČSL	19601217	/sqw/p.sqw?p=486
Miroslav Kapoun		poslanec	poslanec miroslav kapoun	Man	ČSSD	19450803	/sqw/p.sqw?p=487
Miroslav Krajíček	Ing.	poslanec	poslanec miroslav krajíček	Man	ODS	19461204	/sqw/p.sqw?p=503
Miroslav Mareš		předseda rady čt	předseda rady čt miroslav mareš	Man	NOPARTY	19600101	/sqw/p.sqw?p=52122
Miroslav Máče	CSc. Ing. Ph.D	poslanec	poslanec miroslav máče	Man	ČSSD	19560819	/sqw/p.sqw?p=521
Miroslav Ouzký	MUDr.	poslanec	poslanec miroslav ouzký	Man	ODS	19580101	/sqw/p.sqw?p=542
Miroslav Ouzký	MUDr.	poslanec	poslanec psp miroslav ouzký	Man	ODS	19580101	/sqw/p.sqw?p=542
Miroslava Němcová		poslankyně	poslankyně miroslava němcová	Woman	ODS	19520101	/sqw/p.sqw?p=537
Miroslava Vlčková		poslankyně	poslankyně miroslava vlčková	Woman	KSČM	19501125	/sqw/p.sqw?p=604
Monika Horáková		poslankyně	poslankyně monika horáková	Woman	US-DEU	19730101	/sqw/p.sqw?p=471
Oldřich Vojíř	Mgr. Ph.D.	poslanec	poslanec oldřich vojíř	Man	ODS	19610813	/sqw/p.sqw?p=606
Oldřich_Dědek		Viceguvernér ČNB	Viceguvernér ČNB Oldřich Dědek	Man	NOPARTY	19530101	Viceguvernér_ČNB_Oldřich_Dědek
Olga Sehnalová		poslankyně	poslankyně olga sehnalová	Woman	ČSSD	19410101	/sqw/p.sqw?p=563
Ondřej Feber		Senátor	Senátor Ondřej Feber	Man	US	19511119	Senátor_Ondřej_Feber
Otakar Motejl		Veřejný Ochránce Práv	Veřejný Ochránce Práv Otakar Motejl	Man	ČSSD	19320101	veřejný_ochránce_práv_Otakar_Motejl
Otakar Motejl	JUDr.	ministr spravedlnosti čr	ministr spravedlnosti otakar motejl	Man	ČSSD	19320101	/sqw/p.sqw?p=6061
Otakar Motejl	JUDr.	ministr spravedlnosti čr	ministr spravedlnosti čr otakar motejl	Man	ČSSD	19320101	/sqw/p.sqw?p=6061
Pavel Dostál		ministr kultury čr	ministr kultury čr pavel dostál	Man	ČSSD	19430225	/sqw/p.sqw?p=445
Pavel Dostál		poslanec	poslanec pavel dostál	Man	ČSSD	19430225	/sqw/p.sqw?p=445
Pavel Eybert		Senátor	Senátor Pavel Eybert	Man	ODS	19490101	Senátor_Pavel_Eyber
Pavel Hojda	Ing.	poslanec	poslanec pavel hojda	Man	KSČM	19521202	/sqw/p.sqw?p=468
Pavel Hrnčíř	Ing.	poslanec	poslanec pavel hrnčíř	Man	ODS	19610323	/sqw/p.sqw?p=476
Pavel Hönig	Ing.	poslanec	poslanec pavel hönig	Man	ČSSD	19480101	/sqw/p.sqw?p=470
Pavel Janata		Senátor	Senátor Pavel Janata	Man	KDU-ČSL	19600101	Senátor_Pavel_Janata
